feature0,feature1,feature2,feature3,feature4,feature5,feature6,class
8.617385582168268,1.935143547606436,25.21297066707005,20.648994630600587,25.37065983913491,32.910968148348445,29.867381953493638,A
9.323783441741181,7.978308396004245,28.416780216269363,11.173499026494982,30.017304376717078,40.93719883168453,28.53480988478899,A
9.217229090435975,5.086806338606268,9.891921205685652,10.838713857463688,26.422004516933715,38.13197522949446,26.656290702349263,A
5.809596888133029,7.8468471445804635,28.95605231908805,10.231719786040667,19.63981464343478,32.21997805054367,20.905991373377127,A
9.027168383338505,7.775159429776309,25.476312788878992,23.71459261653076,23.993034297240836,32.99647674856139,37.529698267386024,A
3.679655249121696,6.647156432097457,6.553360035821884,12.078659504452391,30.6661460133204,34.175203632385184,27.389576601588534,A
4.894483543087602,2.2765128999121664,23.273987985125817,25.38012085400021,6.870706469777289,29.743868041882866,42.72022549621757,A
3.647742290826214,4.81006450740882,23.49239001776665,23.653447900745036,28.768360491275004,46.78613836636553,23.580856262688005,A
9.032855781921043,3.9261778171180586,12.084725716849853,11.679869107545013,21.305353874993195,29.236049024559776,27.97450857683829,A
6.812610969337006,6.047323856214083,17.38030596651625,19.695385359917868,21.629528056045395,26.812238699114577,42.25891252337569,A
4.67181468478973,6.573830625665854,23.270661196458576,8.075277794572457,25.609776914839227,37.782631951317256,38.520603304523405,A
6.426773342793201,2.279399958574007,19.262755714973974,28.090386547227915,15.431987255723838,34.54380209957283,12.875111705048791,A
9.814588790368916,8.191282961307078,32.50506419985879,4.279886739301457,24.130281340199723,34.745179736014435,37.93670922476606,A
5.695044447398863,6.419071682855252,16.209302664138114,16.026994728669354,24.787295826003547,26.297251670233955,18.077887427402324,A
2.9201421801373675,7.089331426001024,14.528203950936101,28.97932906664809,10.088275502127148,24.964621031148205,33.569331624093834,A
6.370635224789616,6.697909593040404,19.474032369486586,26.175494933945686,30.19220001929311,20.45948586414859,14.359572268509956,A
10.63794125336387,3.6972894593547636,29.11638987455842,9.746475629844157,31.013096044546643,29.552169366844645,44.59554945843828,A
1.7940923044990638,3.8012825046756484,30.29813483346161,16.498547985252067,24.53664364093229,34.1652396153094,38.99031231563659,A
9.58373066213471,2.446953045268481,19.23195092603865,27.870237478507914,23.225781772338458,26.189483718714047,43.74968328727297,A
5.073057661013264,9.510951204218538,17.06655309213045,12.536640813518618,15.47131958595202,35.16541102177946,37.65535180368176,A
6.119992312904822,5.380202983578638,13.620461712688412,14.390686026063364,20.12563762932825,31.987048053209456,40.11975243318908,A
9.427124364129298,6.655775820691282,28.983425074370494,16.879125092849804,17.328970255494422,35.33698632324934,29.406099188815936,A
1.8493109072263862,7.374962865743901,18.287854343456637,17.805420545040246,15.184535674299703,28.834840765898537,40.3838976733888,A
7.480408088975072,4.473026806982081,18.49384974706905,22.888434596907302,37.55755342001397,48.10101024986708,27.9830419881562,A
1.7558008036941843,7.285286571139446,17.866810586435996,20.124217840700396,27.007073027535068,36.56373640476269,41.418133157648036,A
8.1303059694478,1.8761005216570203,29.72811454797869,22.193509278180294,17.03885035119092,23.62749211171245,14.79682926204234,A
4.5422104639805045,6.601460697988179,15.547221718369643,14.264452226569198,22.414626200923987,36.478505718222806,40.394903669270235,A
2.949003110796263,6.4871138697042525,19.868283473318822,24.64748583632378,22.98037745682213,46.216237189485426,33.28046912179781,A
6.308188898841159,3.08427090658365,26.392505230323444,14.656972345753701,13.187445940478073,35.02359463848636,21.6796904041877,A
2.327517275412251,3.801710709911789,28.025920848330824,23.99183504576322,22.80399632789958,53.62327864176778,43.78797749261776,A
10.061215520210336,5.575565036820397,13.41266390325719,18.912318411946405,20.533414110776615,27.74281188349569,32.864056981390156,A
10.998511115965893,4.993192258509026,30.31383812018774,15.14517869657186,35.645284866982756,30.583236928427915,51.53216521337659,A
