Id,Category
1,D
2,B
3,B
4,C
5,A
6,D
7,D
8,C
9,C
10,B
11,C
12,D
13,A
14,D
15,A
16,B
17,B
18,C
19,A
20,A
21,B
22,B
23,D
24,C
25,A
26,B
27,B
28,D
29,C
30,C
31,D
32,B
33,B
34,A
35,C
36,C
37,B
38,C
39,C
40,C
41,C
42,B
43,C
44,B
45,C
46,B
47,C
48,B
49,A
50,B
51,D
52,A
53,D
54,D
55,A
56,A
57,C
58,B
59,C
60,C
61,B
62,B
63,B
64,C
65,C
66,D
67,A
68,B
69,B
70,D
71,B
72,D
73,D
74,D
75,C
76,B
77,A
78,A
79,C
80,A
81,D
82,B
83,A
84,D
85,C
86,B
87,B
88,A
89,C
90,A
91,D
92,A
93,B
94,D
95,B
96,A
97,B
98,C
99,C
100,D
101,B
102,A
103,B
104,D
105,A
106,C
107,A
108,A
109,D
110,B
111,B
112,A
113,C
114,C
115,D
116,A
117,B
118,B
119,B
120,A
121,D
122,B
123,C
124,C
125,C
126,B
127,A
128,D
129,A
130,A
131,B
132,C
133,C
134,B
135,A
136,C
137,A
138,A
139,B
140,D
141,D
142,B
143,C
144,C
145,C
146,D
147,C
148,B
149,D
150,A
151,B
152,D
153,D
154,A
155,B
156,D
157,B
158,C
159,C
160,A
161,B
162,C
163,C
164,C
165,C
166,C
167,D
168,A
169,C
170,D
171,B
172,B
173,D
174,C
175,A
176,C
177,C
178,C
179,B
180,D
181,C
182,A
183,D
184,B
185,D
186,C
187,C
188,C
189,C
190,C
191,C
192,D
193,B
194,C
195,C
196,C
197,A
198,A
199,B
200,B
201,D
202,C
203,C
204,D
205,A
206,C
207,C
208,C
209,C
210,D
211,C
212,A
213,A
214,C
215,C
216,C
217,A
218,D
219,B
220,A
221,C
222,B
223,A
224,C
225,A
226,D
227,B
228,A
229,A
230,A
231,D
232,D
233,C
234,B
235,C
236,C
237,B
238,B
239,C
240,A
241,C
242,B
243,A
244,C
245,C
246,C
247,C
248,C
249,C
250,D
251,C
252,C
253,A
254,B
255,D
256,A
257,D
258,A
259,A
260,B
261,D
262,C
263,C
264,B
265,B
266,C
267,B
268,D
269,A
270,C
271,D
272,A
273,C
274,A
275,C
276,C
277,C
278,C
279,C
280,A
281,D
282,D
283,C
284,C
285,D
286,D
287,A
288,C
289,D
290,C
291,A
292,C
293,B
294,B
295,D
296,A
297,C
298,C
299,B
300,D
301,D
302,B
303,D
304,A
305,A
306,A
307,C
308,D
309,B
310,D
311,B
312,A
313,C
314,C
315,B
316,D
317,C
318,B
319,C
320,D
321,C
322,C
323,C
324,B
325,D
326,A
327,C
328,B
329,C
330,C
331,A
332,B
333,C
334,C
335,A
336,B
337,C
338,B
339,A
340,A
341,C
342,C
343,B
344,B
345,C
346,A
347,B
348,C
349,D
350,D
351,B
352,A
353,D
354,C
355,D
356,A
357,D
358,C
359,B
360,C
361,B
362,A
363,C
364,C
365,A
366,B
367,D
368,B
369,B
370,C
371,C
372,A
373,D
374,C
375,C
376,C
377,A
378,D
379,D
380,A
381,C
382,B
383,D
384,C
385,C
386,D
387,B
388,B
389,B
390,C
391,D
392,C
393,B
394,B
395,C
396,A
397,C
398,C
399,D
400,A
401,C
402,B
403,A
404,C
405,D
406,B
407,B
408,A
409,B
410,D
411,A
412,A
413,C
414,A
415,A
416,A
417,A
418,A
419,B
420,C
421,B
422,B
423,B
424,C
425,A
426,B
427,C
428,B
429,C
430,D
431,B
432,A
433,C
434,A
435,C
436,B
437,C
438,C
439,B
440,D
441,D
442,D
443,A
444,D
445,D
446,B
447,D
448,A
449,C
450,D
451,D
452,A
453,C
454,C
455,C
456,D
457,A
458,D
459,B
460,C
461,C
462,C
463,C
464,B
465,D
466,D
467,D
468,C
469,B
470,A
471,B
472,B
473,C
474,B
475,A
476,C
477,A
478,C
479,B
480,A
481,D
482,C
483,D
484,C
485,A
486,D
487,A
488,A
489,D
490,D
491,A
492,A
493,C
494,D
495,D
496,A
497,D
498,D
499,C
500,B
501,C
502,D
503,C
504,C
505,D
506,C
507,A
508,A
509,C
510,D
511,D
512,A
513,C
514,C
515,D
516,A
517,D
518,D
519,D
520,C
521,B
522,C
523,B
524,B
525,A
526,C
527,C
528,C
529,D
530,B
531,C
532,B
533,C
534,B
535,D
536,A
537,A
538,B
539,D
540,C
541,A
542,C
543,C
544,C
545,A
546,A
547,A
548,B
549,B
550,A
551,A
552,C
553,B
554,D
555,B
556,D
557,B
558,B
559,D
560,A
561,B
562,C
563,C
564,A
565,D
566,C
567,C
568,B
569,A
570,A
571,B
572,C
573,A
574,B
575,A
576,D
577,B
578,C
579,A
580,D
581,C
582,C
583,A
584,C
585,D
586,B
587,C
588,D
589,B
590,B
591,B
592,D
593,C
594,C
595,B
596,C
597,C
598,D
599,C
600,C
601,C
602,C
603,B
604,C
605,A
606,D
607,B
608,A
609,D
610,C
611,A
612,B
613,C
614,B
615,B
616,B
617,B
618,B
619,C
620,C
621,B
622,A
623,A
624,D
625,B
626,C
627,A
628,D
629,A
630,C
631,A
632,C
633,C
634,C
635,D
636,C
637,D
638,A
639,B
640,B
641,A
642,B
643,B
644,A
645,D
646,B
647,B
648,C
649,B
650,C
651,D
652,C
653,A
654,B
655,D
656,B
657,B
658,C
659,B
660,B
661,B
662,C
663,B
664,C
665,B
666,A
667,A
668,B
669,B
670,A
671,A
672,D
673,B
674,C
675,C
676,D
677,B
678,C
679,C
